Benchmark Name,Paper Title,Google Scholar Link
GRB,Graph Robustness Benchmark: Benchmarking the Adversarial Robustness of Graph Machine Learning,https://scholar.google.com/scholar?q=Graph+Robustness+Benchmark+Adversarial+Robustness+Graph+Machine+Learning
RealToxicityPrompts,RealToxicityPrompts: Evaluating Neural Toxic Degeneration in Language Models,https://scholar.google.com/scholar?q=RealToxicityPrompts+Evaluating+Neural+Toxic+Degeneration+Language+Models
SafetyBench,SafetyBench: Evaluating the Safety of Large Language Models with Multiple Choice Questions,https://scholar.google.com/scholar?q=SafetyBench+Evaluating+Safety+Large+Language+Models
ToxiGen,ToxiGen: A Large-Scale Machine-Generated Dataset for Adversarial and Implicit Hate Speech Detection,https://scholar.google.com/scholar?q=ToxiGen+Large-Scale+Machine-Generated+Dataset+Adversarial+Implicit+Hate+Speech
BBQ,BBQ: A Hand-Built Bias Benchmark for Question Answering,https://scholar.google.com/scholar?q=BBQ+Hand-Built+Bias+Benchmark+Question+Answering
BOLD,BOLD: Dataset and Metrics for Measuring Biases in Open-Ended Language Generation,https://scholar.google.com/scholar?q=BOLD+Dataset+Metrics+Measuring+Biases+Open-Ended+Language+Generation
JailbreakBench,JailbreakBench: An Open Robustness Benchmark for Jailbreaking Large Language Models,https://scholar.google.com/scholar?q=JailbreakBench+Open+Robustness+Benchmark+Jailbreaking+Large+Language+Models
HarmBench,HarmBench: A Standardized Evaluation Framework for Automated Red Teaming and Robust Refusal,https://scholar.google.com/scholar?q=HarmBench+Standardized+Evaluation+Framework+Automated+Red+Teaming
DecodingTrust,DecodingTrust: A Comprehensive Assessment of Trustworthiness in GPT Models,https://scholar.google.com/scholar?q=DecodingTrust+Comprehensive+Assessment+Trustworthiness+GPT+Models
AdvBench,Universal and Transferable Adversarial Attacks on Aligned Language Models,https://scholar.google.com/scholar?q=Universal+Transferable+Adversarial+Attacks+Aligned+Language+Models
HarmfulQA,Red-Teaming Large Language Models using Chain of Utterances for Safety-Alignment,https://scholar.google.com/scholar?q=Red-Teaming+Large+Language+Models+Chain+Utterances+Safety-Alignment
DoNotAnswer,Do-Not-Answer: A Dataset for Evaluating Safeguards in LLMs,https://scholar.google.com/scholar?q=Do-Not-Answer+Dataset+Evaluating+Safeguards+LLMs
SALAD-Bench,SALAD-Bench: A Hierarchical and Comprehensive Safety Benchmark for Large Language Models,https://scholar.google.com/scholar?q=SALAD-Bench+Hierarchical+Comprehensive+Safety+Benchmark+Large+Language+Models
MACHIAVELLI,Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the MACHIAVELLI Benchmark,https://scholar.google.com/scholar?q=Do+the+Rewards+Justify+the+Means+Measuring+Trade-Offs+Between+Rewards+and+Ethical+Behavior+in+the+MACHIAVELLI+Benchmark+Pan
ELEPHANT,ELEPHANT: Measuring and Understanding Social Sycophancy in LLMs,https://scholar.google.com/scholar?q=ELEPHANT+Measuring+and+Understanding+Social+Sycophancy+in+LLMs+Cheng
OpenDeception,OpenDeception: Benchmarking and Investigating AI Deceptive Behaviors via Open-ended Interaction Simulation,https://scholar.google.com/scholar?q=OpenDeception+Benchmarking+and+Investigating+AI+Deceptive+Behaviors
Goal Misgeneralization (Procgen),Goal Misgeneralization in Deep Reinforcement Learning,https://scholar.google.com/scholar?q=Goal+Misgeneralization+in+Deep+Reinforcement+Learning+Langosco+Koch
Goal Misgeneralization (Analysis),Goal Misgeneralization: Why Correct Specifications Aren't Enough For Correct Goals,https://scholar.google.com/scholar?q=Goal+Misgeneralization+Why+Correct+Specifications+Aren%27t+Enough+For+Correct+Goals+Shah
IPS Index,Instrumental Power-Seeking Index: A Novel Benchmark for Detecting Power-Seeking Behavior in LLMs,https://scholar.google.com/scholar?q=Instrumental+Power-Seeking+Index+Novel+Benchmark+Detecting+Power-Seeking+Behavior+LLMs
SycEval,SycEval: Evaluating LLM Sycophancy,https://scholar.google.com/scholar?q=SycEval+Evaluating+LLM+Sycophancy
HELM Safety,HELM Safety: Towards Standardized Safety Evaluations of Language Models,https://scholar.google.com/scholar?q=HELM+Safety+Towards+Standardized+Safety+Evaluations+Language+Models+Stanford
AIR-Bench 2024,AIR-Bench 2024: A Safety Benchmark Based on Risk Categories from Regulations and Policies,https://scholar.google.com/scholar?q=AIR-Bench+2024+Safety+Benchmark+Risk+Categories+Regulations+Policies
TrustLLM,TrustLLM: Trustworthiness in Large Language Models,https://scholar.google.com/scholar?q=TrustLLM+Trustworthiness+Large+Language+Models
MLCommons AILuminate,AILuminate: Introducing v1.0 of the AI Risk and Reliability Benchmark from MLCommons,https://scholar.google.com/scholar?q=AILuminate+Introducing+v1.0+AI+Risk+Reliability+Benchmark+MLCommons
ALERT,ALERT: A Comprehensive Benchmark for Assessing Large Language Models' Safety through Red Teaming,https://scholar.google.com/scholar?q=ALERT+Comprehensive+Benchmark+Assessing+Large+Language+Models+Safety+Red+Teaming
AgentHarm,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,https://scholar.google.com/scholar?q=AgentHarm+Benchmark+Measuring+Harmfulness+LLM+Agents
SimpleSafetyTest,SimpleSafetyTest: Universal Safety Testing for Language Models,https://scholar.google.com/scholar?q=SimpleSafetyTest+Universal+Safety+Testing+Language+Models
XSTest,XSTest: A Test Suite for Identifying Exaggerated Safety Behaviors in Large Language Models,https://scholar.google.com/scholar?q=XSTest+Test+Suite+Identifying+Exaggerated+Safety+Behaviors+Large+Language+Models
AnthropicRedTeam,Anthropic Red Team Dataset: Adversarial Testing for Language Models,https://scholar.google.com/scholar?q=AnthropicRedTeam+Adversarial+Testing+Language+Models
BELLS,BELLS: Benchmarking Emergent Large Language Model Safeguards,https://scholar.google.com/scholar?q=BELLS+Benchmarking+Emergent+Large+Language+Model+Safeguards
GaslightBench,GaslightBench: Quantifying LLM Susceptibility to Social Prompting,https://scholar.google.com/scholar?q=GaslightBench+Quantifying+LLM+Susceptibility+Social+Prompting
CoinRun,Quantifying Generalization in Reinforcement Learning,https://scholar.google.com/scholar?q=CoinRun+Quantifying+Generalization+Reinforcement+Learning
HappyFaces,Goal Misgeneralization in Deep Reinforcement Learning,https://scholar.google.com/scholar?q=HappyFaces+Goal+Misgeneralization+Deep+Reinforcement+Learning
WildBench,WildBench: Benchmarking LLMs with Challenging Tasks from Real Users in the Wild,https://scholar.google.com/scholar?q=WildBench+Benchmarking+LLMs+Challenging+Tasks+Real+Users+Wild
Perspective API Benchmark,Perspective API: Machine Learning to Reduce Toxicity Online,https://scholar.google.com/scholar?q=Perspective+API+Machine+Learning+Reduce+Toxicity+Online
MLCommons AI Safety v0.5,Introducing v0.5 of the AI Safety Benchmark from MLCommons,https://scholar.google.com/scholar?q=Introducing+v0.5+AI+Safety+Benchmark+MLCommons
