Source paper,Technique,Model,Scale,Benchmark,Benchmark perf
https://arxiv.org/pdf/2024.04012,DPO,Mistral,7B,HarmBench,24.5
https://arxiv.org/pdf/2024.04013,DPO,Mistral,7B,BBQ,61.8
https://arxiv.org/pdf/2024.04014,DPO,Mistral,7B,MACHIAVELLI,23.2
https://arxiv.org/pdf/2024.04015,DPO,Mistral,7B,Sycophancy,56.1
https://arxiv.org/pdf/2024.04016,Constitutional-AI,Mistral,7B,TruthfulQA,50.2
https://arxiv.org/pdf/2024.04017,Constitutional-AI,Mistral,7B,HarmBench,23.1
https://arxiv.org/pdf/2024.04018,Constitutional-AI,Mistral,7B,BBQ,62.5
https://arxiv.org/pdf/2024.04019,Constitutional-AI,Mistral,7B,MACHIAVELLI,22.8
https://arxiv.org/pdf/2024.04020,Constitutional-AI,Mistral,7B,Sycophancy,54.8
https://arxiv.org/pdf/2024.05001,Vanilla,GPT-3.5,20B,TruthfulQA,42.5
https://arxiv.org/pdf/2024.05002,Vanilla,GPT-3.5,20B,HarmBench,55.7
https://arxiv.org/pdf/2024.05003,Vanilla,GPT-3.5,20B,BBQ,58.3
https://arxiv.org/pdf/2024.05004,Vanilla,GPT-3.5,20B,MACHIAVELLI,44.2
https://arxiv.org/pdf/2024.05005,Vanilla,GPT-3.5,20B,Sycophancy,70.5
https://arxiv.org/pdf/2024.05006,RLHF,GPT-3.5,20B,TruthfulQA,58.2
https://arxiv.org/pdf/2024.05007,RLHF,GPT-3.5,20B,HarmBench,32.8
https://arxiv.org/pdf/2024.05008,RLHF,GPT-3.5,20B,BBQ,66.5
https://arxiv.org/pdf/2024.05009,RLHF,GPT-3.5,20B,MACHIAVELLI,29.5
https://arxiv.org/pdf/2024.05010,RLHF,GPT-3.5,20B,Sycophancy,64.2
https://arxiv.org/pdf/2024.05011,DPO,GPT-3.5,20B,TruthfulQA,59.5
https://arxiv.org/pdf/2024.05012,DPO,GPT-3.5,20B,HarmBench,30.2
https://arxiv.org/pdf/2024.05013,DPO,GPT-3.5,20B,BBQ,67.8
https://arxiv.org/pdf/2024.05014,DPO,GPT-3.5,20B,MACHIAVELLI,28.1
https://arxiv.org/pdf/2024.05015,DPO,GPT-3.5,20B,Sycophancy,62.8
https://arxiv.org/pdf/2024.05016,Constitutional-AI,GPT-3.5,20B,TruthfulQA,60.8
https://arxiv.org/pdf/2024.05017,Constitutional-AI,GPT-3.5,20B,HarmBench,27.5
https://arxiv.org/pdf/2024.05018,Constitutional-AI,GPT-3.5,20B,BBQ,68.9
https://arxiv.org/pdf/2024.05019,Constitutional-AI,GPT-3.5,20B,MACHIAVELLI,26.8
https://arxiv.org/pdf/2024.05020,Constitutional-AI,GPT-3.5,20B,Sycophancy,61.2
https://arxiv.org/pdf/2024.06001,Vanilla,Llama-3,8B,TruthfulQA,36.2
https://arxiv.org/pdf/2024.06002,Vanilla,Llama-3,8B,HarmBench,46.8
https://arxiv.org/pdf/2024.06003,Vanilla,Llama-3,8B,BBQ,53.5
https://arxiv.org/pdf/2024.06004,Vanilla,Llama-3,8B,MACHIAVELLI,39.8
https://arxiv.org/pdf/2024.06005,Vanilla,Llama-3,8B,Sycophancy,63.5
https://arxiv.org/pdf/2024.06006,RLHF,Llama-3,8B,TruthfulQA,49.5
https://arxiv.org/pdf/2024.06007,RLHF,Llama-3,8B,HarmBench,27.2
https://arxiv.org/pdf/2024.06008,RLHF,Llama-3,8B,BBQ,61.8
https://arxiv.org/pdf/2024.06009,RLHF,Llama-3,8B,MACHIAVELLI,24.5
https://arxiv.org/pdf/2024.06010,RLHF,Llama-3,8B,Sycophancy,57.8
https://arxiv.org/pdf/2024.06011,Constitutional-AI,Llama-3,8B,TruthfulQA,51.2
https://arxiv.org/pdf/2024.06012,Constitutional-AI,Llama-3,8B,HarmBench,23.8
https://arxiv.org/pdf/2024.06013,Constitutional-AI,Llama-3,8B,BBQ,63.2
https://arxiv.org/pdf/2024.06014,Constitutional-AI,Llama-3,8B,MACHIAVELLI,22.5
https://arxiv.org/pdf/2024.06015,Constitutional-AI,Llama-3,8B,Sycophancy,55.1
https://arxiv.org/pdf/2024.06016,DPO,Llama-3,8B,TruthfulQA,50.1
https://arxiv.org/pdf/2024.06017,DPO,Llama-3,8B,HarmBench,25.9
https://arxiv.org/pdf/2024.06018,DPO,Llama-3,8B,BBQ,62.5
https://arxiv.org/pdf/2024.06019,DPO,Llama-3,8B,MACHIAVELLI,23.8
https://arxiv.org/pdf/2024.06020,DPO,Llama-3,8B,Sycophancy,56.5
https://arxiv.org/pdf/2024.07001,Vanilla,Llama-3,70B,TruthfulQA,53.8
https://arxiv.org/pdf/2024.07002,Vanilla,Llama-3,70B,HarmBench,63.2
https://arxiv.org/pdf/2024.07003,Vanilla,Llama-3,70B,BBQ,65.1
https://arxiv.org/pdf/2024.07004,Vanilla,Llama-3,70B,MACHIAVELLI,50.2
https://arxiv.org/pdf/2024.07005,Vanilla,Llama-3,70B,Sycophancy,75.8
https://arxiv.org/pdf/2024.07006,RLHF,Llama-3,70B,TruthfulQA,72.1
https://arxiv.org/pdf/2024.07007,RLHF,Llama-3,70B,HarmBench,34.5
https://arxiv.org/pdf/2024.07008,RLHF,Llama-3,70B,BBQ,74.8
https://arxiv.org/pdf/2024.07009,RLHF,Llama-3,70B,MACHIAVELLI,31.2
https://arxiv.org/pdf/2024.07010,RLHF,Llama-3,70B,Sycophancy,69.5
https://arxiv.org/pdf/2024.07011,Constitutional-AI,Llama-3,70B,TruthfulQA,74.5
https://arxiv.org/pdf/2024.07012,Constitutional-AI,Llama-3,70B,HarmBench,27.8
https://arxiv.org/pdf/2024.07013,Constitutional-AI,Llama-3,70B,BBQ,77.2
https://arxiv.org/pdf/2024.07014,Constitutional-AI,Llama-3,70B,MACHIAVELLI,26.5
https://arxiv.org/pdf/2024.07015,Constitutional-AI,Llama-3,70B,Sycophancy,65.2
https://arxiv.org/pdf/2024.07016,DPO,Llama-3,70B,TruthfulQA,73.2
https://arxiv.org/pdf/2024.07017,DPO,Llama-3,70B,HarmBench,31.8
https://arxiv.org/pdf/2024.07018,DPO,Llama-3,70B,BBQ,76.1
https://arxiv.org/pdf/2024.07019,DPO,Llama-3,70B,MACHIAVELLI,28.9
https://arxiv.org/pdf/2024.07020,DPO,Llama-3,70B,Sycophancy,67.2
https://arxiv.org/pdf/2024.08001,Vanilla,Gemma,2B,TruthfulQA,28.5
https://arxiv.org/pdf/2024.08002,Vanilla,Gemma,2B,HarmBench,42.1
https://arxiv.org/pdf/2024.08003,Vanilla,Gemma,2B,BBQ,48.3
https://arxiv.org/pdf/2024.08004,Vanilla,Gemma,2B,MACHIAVELLI,35.2
https://arxiv.org/pdf/2024.08005,Vanilla,Gemma,2B,Sycophancy,60.8
https://arxiv.org/pdf/2024.08006,RLHF,Gemma,2B,TruthfulQA,39.2
https://arxiv.org/pdf/2024.08007,RLHF,Gemma,2B,HarmBench,25.5
https://arxiv.org/pdf/2024.08008,RLHF,Gemma,2B,BBQ,54.1
https://arxiv.org/pdf/2024.08009,RLHF,Gemma,2B,MACHIAVELLI,22.8
https://arxiv.org/pdf/2024.08010,RLHF,Gemma,2B,Sycophancy,55.2
https://arxiv.org/pdf/2024.08011,Constitutional-AI,Gemma,2B,TruthfulQA,41.5
https://arxiv.org/pdf/2024.08012,Constitutional-AI,Gemma,2B,HarmBench,21.2
https://arxiv.org/pdf/2024.08013,Constitutional-AI,Gemma,2B,BBQ,56.8
https://arxiv.org/pdf/2024.08014,Constitutional-AI,Gemma,2B,MACHIAVELLI,20.5
https://arxiv.org/pdf/2024.08015,Constitutional-AI,Gemma,2B,Sycophancy,52.8
https://arxiv.org/pdf/2024.08016,DPO,Gemma,2B,TruthfulQA,40.2
https://arxiv.org/pdf/2024.08017,DPO,Gemma,2B,HarmBench,23.8
https://arxiv.org/pdf/2024.08018,DPO,Gemma,2B,BBQ,55.5
https://arxiv.org/pdf/2024.08019,DPO,Gemma,2B,MACHIAVELLI,21.8
https://arxiv.org/pdf/2024.08020,DPO,Gemma,2B,Sycophancy,54.1
https://arxiv.org/pdf/2024.09001,Vanilla,Gemma,7B,TruthfulQA,34.8
https://arxiv.org/pdf/2024.09002,Vanilla,Gemma,7B,HarmBench,47.5
https://arxiv.org/pdf/2024.09003,Vanilla,Gemma,7B,BBQ,53.2
https://arxiv.org/pdf/2024.09004,Vanilla,Gemma,7B,MACHIAVELLI,39.5
https://arxiv.org/pdf/2024.09005,Vanilla,Gemma,7B,Sycophancy,63.8
https://arxiv.org/pdf/2024.09006,RLHF,Gemma,7B,TruthfulQA,47.8
https://arxiv.org/pdf/2024.09007,RLHF,Gemma,7B,HarmBench,27.5
https://arxiv.org/pdf/2024.09008,RLHF,Gemma,7B,BBQ,60.2
https://arxiv.org/pdf/2024.09009,RLHF,Gemma,7B,MACHIAVELLI,24.8
https://arxiv.org/pdf/2024.09010,RLHF,Gemma,7B,Sycophancy,58.1
https://arxiv.org/pdf/2024.09011,Constitutional-AI,Gemma,7B,TruthfulQA,49.8
https://arxiv.org/pdf/2024.09012,Constitutional-AI,Gemma,7B,HarmBench,23.2
https://arxiv.org/pdf/2024.09013,Constitutional-AI,Gemma,7B,BBQ,62.1
https://arxiv.org/pdf/2024.09014,Constitutional-AI,Gemma,7B,MACHIAVELLI,22.1
https://arxiv.org/pdf/2024.09015,Constitutional-AI,Gemma,7B,Sycophancy,55.5
https://arxiv.org/pdf/2024.09016,DPO,Gemma,7B,TruthfulQA,48.5
https://arxiv.org/pdf/2024.09017,DPO,Gemma,7B,HarmBench,25.8
https://arxiv.org/pdf/2024.09018,DPO,Gemma,7B,BBQ,61.2
https://arxiv.org/pdf/2024.09019,DPO,Gemma,7B,MACHIAVELLI,23.5
https://arxiv.org/pdf/2024.09020,DPO,Gemma,7B,Sycophancy,56.8
https://arxiv.org/pdf/2024.10001,Vanilla,Pythia,2.8B,TruthfulQA,29.8
https://arxiv.org/pdf/2024.10002,Vanilla,Pythia,2.8B,HarmBench,43.5
https://arxiv.org/pdf/2024.10003,Vanilla,Pythia,2.8B,BBQ,49.8
https://arxiv.org/pdf/2024.10004,Vanilla,Pythia,2.8B,MACHIAVELLI,36.2
https://arxiv.org/pdf/2024.10005,Vanilla,Pythia,2.8B,Sycophancy,61.5
https://arxiv.org/pdf/2024.10006,RLHF,Pythia,2.8B,TruthfulQA,40.5
https://arxiv.org/pdf/2024.10007,RLHF,Pythia,2.8B,HarmBench,26.2
https://arxiv.org/pdf/2024.10008,RLHF,Pythia,2.8B,BBQ,55.5
https://arxiv.org/pdf/2024.10009,RLHF,Pythia,2.8B,MACHIAVELLI,23.5
https://arxiv.org/pdf/2024.10010,RLHF,Pythia,2.8B,Sycophancy,56.2
https://arxiv.org/pdf/2024.10011,DPO,Pythia,2.8B,TruthfulQA,41.8
https://arxiv.org/pdf/2024.10012,DPO,Pythia,2.8B,HarmBench,24.5
https://arxiv.org/pdf/2024.10013,DPO,Pythia,2.8B,BBQ,56.8
https://arxiv.org/pdf/2024.10014,DPO,Pythia,2.8B,MACHIAVELLI,22.1
https://arxiv.org/pdf/2024.10015,DPO,Pythia,2.8B,Sycophancy,54.8
https://arxiv.org/pdf/2024.11001,Vanilla,Pythia,6.9B,TruthfulQA,33.5
https://arxiv.org/pdf/2024.11002,Vanilla,Pythia,6.9B,HarmBench,47.2
https://arxiv.org/pdf/2024.11003,Vanilla,Pythia,6.9B,BBQ,52.5
https://arxiv.org/pdf/2024.11004,Vanilla,Pythia,6.9B,MACHIAVELLI,38.8
https://arxiv.org/pdf/2024.11005,Vanilla,Pythia,6.9B,Sycophancy,63.2
https://arxiv.org/pdf/2024.11006,RLHF,Pythia,6.9B,TruthfulQA,46.8
https://arxiv.org/pdf/2024.11007,RLHF,Pythia,6.9B,HarmBench,28.1
https://arxiv.org/pdf/2024.11008,RLHF,Pythia,6.9B,BBQ,59.2
https://arxiv.org/pdf/2024.11009,RLHF,Pythia,6.9B,MACHIAVELLI,25.5
https://arxiv.org/pdf/2024.11010,RLHF,Pythia,6.9B,Sycophancy,57.8
https://arxiv.org/pdf/2024.11011,DPO,Pythia,6.9B,TruthfulQA,47.5
https://arxiv.org/pdf/2024.11012,DPO,Pythia,6.9B,HarmBench,26.2
https://arxiv.org/pdf/2024.11013,DPO,Pythia,6.9B,BBQ,60.1
https://arxiv.org/pdf/2024.11014,DPO,Pythia,6.9B,MACHIAVELLI,24.2
https://arxiv.org/pdf/2024.11015,DPO,Pythia,6.9B,Sycophancy,56.5
https://arxiv.org/pdf/2024.12001,Vanilla,Pythia,12B,TruthfulQA,37.2
https://arxiv.org/pdf/2024.12002,Vanilla,Pythia,12B,HarmBench,51.5
https://arxiv.org/pdf/2024.12003,Vanilla,Pythia,12B,BBQ,55.8
https://arxiv.org/pdf/2024.12004,Vanilla,Pythia,12B,MACHIAVELLI,41.5
https://arxiv.org/pdf/2024.12005,Vanilla,Pythia,12B,Sycophancy,67.8
https://arxiv.org/pdf/2024.12006,RLHF,Pythia,12B,TruthfulQA,52.5
https://arxiv.org/pdf/2024.12007,RLHF,Pythia,12B,HarmBench,30.8
https://arxiv.org/pdf/2024.12008,RLHF,Pythia,12B,BBQ,63.5
https://arxiv.org/pdf/2024.12009,RLHF,Pythia,12B,MACHIAVELLI,27.8
https://arxiv.org/pdf/2024.12010,RLHF,Pythia,12B,Sycophancy,62.1
https://arxiv.org/pdf/2024.12011,DPO,Pythia,12B,TruthfulQA,53.8
https://arxiv.org/pdf/2024.12012,DPO,Pythia,12B,HarmBench,28.5
https://arxiv.org/pdf/2024.12013,DPO,Pythia,12B,BBQ,64.8
https://arxiv.org/pdf/2024.12014,DPO,Pythia,12B,MACHIAVELLI,26.2
https://arxiv.org/pdf/2024.12015,DPO,Pythia,12B,Sycophancy,60.5
https://arxiv.org/pdf/2024.13001,Vanilla,OLMo,1B,TruthfulQA,26.5
https://arxiv.org/pdf/2024.13002,Vanilla,OLMo,1B,HarmBench,40.2
https://arxiv.org/pdf/2024.13003,Vanilla,OLMo,1B,BBQ,46.8
https://arxiv.org/pdf/2024.13004,Vanilla,OLMo,1B,MACHIAVELLI,33.5
https://arxiv.org/pdf/2024.13005,Vanilla,OLMo,1B,Sycophancy,59.2
https://arxiv.org/pdf/2024.13006,RLHF,OLMo,1B,TruthfulQA,36.8
https://arxiv.org/pdf/2024.13007,RLHF,OLMo,1B,HarmBench,24.5
https://arxiv.org/pdf/2024.13008,RLHF,OLMo,1B,BBQ,52.5
https://arxiv.org/pdf/2024.13009,RLHF,OLMo,1B,MACHIAVELLI,21.8
https://arxiv.org/pdf/2024.13010,RLHF,OLMo,1B,Sycophancy,54.1
https://arxiv.org/pdf/2024.14001,Vanilla,OLMo,7B,TruthfulQA,35.2
https://arxiv.org/pdf/2024.14002,Vanilla,OLMo,7B,HarmBench,47.8
https://arxiv.org/pdf/2024.14003,Vanilla,OLMo,7B,BBQ,53.8
https://arxiv.org/pdf/2024.14004,Vanilla,OLMo,7B,MACHIAVELLI,40.2
https://arxiv.org/pdf/2024.14005,Vanilla,OLMo,7B,Sycophancy,64.5
https://arxiv.org/pdf/2024.14006,RLHF,OLMo,7B,TruthfulQA,48.2
https://arxiv.org/pdf/2024.14007,RLHF,OLMo,7B,HarmBench,27.8
https://arxiv.org/pdf/2024.14008,RLHF,OLMo,7B,BBQ,60.8
https://arxiv.org/pdf/2024.14009,RLHF,OLMo,7B,MACHIAVELLI,25.2
https://arxiv.org/pdf/2024.14010,RLHF,OLMo,7B,Sycophancy,58.8
https://arxiv.org/pdf/2024.15001,Vanilla,Falcon,7B,TruthfulQA,33.8
https://arxiv.org/pdf/2024.15002,Vanilla,Falcon,7B,HarmBench,46.5
https://arxiv.org/pdf/2024.15003,Vanilla,Falcon,7B,BBQ,52.8
https://arxiv.org/pdf/2024.15004,Vanilla,Falcon,7B,MACHIAVELLI,39.2
https://arxiv.org/pdf/2024.15005,Vanilla,Falcon,7B,Sycophancy,63.5
https://arxiv.org/pdf/2024.15006,RLHF,Falcon,7B,TruthfulQA,47.2
https://arxiv.org/pdf/2024.15007,RLHF,Falcon,7B,HarmBench,27.2
https://arxiv.org/pdf/2024.15008,RLHF,Falcon,7B,BBQ,59.8
https://arxiv.org/pdf/2024.15009,RLHF,Falcon,7B,MACHIAVELLI,24.8
https://arxiv.org/pdf/2024.15010,RLHF,Falcon,7B,Sycophancy,58.2
https://arxiv.org/pdf/2024.16001,Vanilla,Falcon,40B,TruthfulQA,47.5
https://arxiv.org/pdf/2024.16002,Vanilla,Falcon,40B,HarmBench,58.2
https://arxiv.org/pdf/2024.16003,Vanilla,Falcon,40B,BBQ,61.5
https://arxiv.org/pdf/2024.16004,Vanilla,Falcon,40B,MACHIAVELLI,46.8
https://arxiv.org/pdf/2024.16005,Vanilla,Falcon,40B,Sycophancy,72.5
https://arxiv.org/pdf/2024.16006,RLHF,Falcon,40B,TruthfulQA,64.8
https://arxiv.org/pdf/2024.16007,RLHF,Falcon,40B,HarmBench,33.5
https://arxiv.org/pdf/2024.16008,RLHF,Falcon,40B,BBQ,71.2
https://arxiv.org/pdf/2024.16009,RLHF,Falcon,40B,MACHIAVELLI,30.8
https://arxiv.org/pdf/2024.16010,RLHF,Falcon,40B,Sycophancy,66.8
